Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
078340,KR7078340007,컴투스,KOSDAQ,우량기업부,69700,1,500,0.72,70500,70900,69600,119894,8428804900,896789474000,12866420,KSQ
003090,KR7003090008,대웅,KOSPI,,15360,2,-490,-3.09,15620,15670,15290,30218,465777880,893060812800,58141980,STK
192820,KR7192820009,코스맥스,KOSPI,,78500,2,-700,-0.88,79200,79800,78200,7250,571902700,890936456500,11349509,STK
348950,KR7348950007,제이알글로벌리츠,KOSPI,,4475,2,-15,-0.33,4490,4495,4455,28532,127383855,883257600000,197376000,STK
140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,127100,2,-3100,-2.38,128100,129600,124100,6056,769042600,883072878900,6947859,KSQ
225570,KR7225570001,넥슨게임즈,KOSDAQ,중견기업부,13380,2,-310,-2.26,13730,13790,13340,122250,1651331500,879883437720,65761094,KSQ
161890,KR7161890009,한국콜마,KOSPI,,37850,2,-1000,-2.57,38850,38850,37800,11601,441556900,866052663000,22881180,STK
016380,KR7016380008,KG스틸,KOSPI,,8610,2,-210,-2.38,8690,8800,8600,160015,1389678920,861076603170,100008897,STK
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,69100,2,-2700,-3.76,71400,71400,68800,22541,1565696600,851280905000,12319550,KSQ
004360,KR7004360004,세방,KOSPI,,44050,3,0,0.0,43850,45300,43850,55120,2438317550,850547794500,19308690,STK
215000,KR7215000001,골프존,KOSDAQ GLOBAL,우량기업부,135000,2,-4900,-3.5,138300,138300,134500,12362,1680631300,847181025000,6275415,KSQ
222800,KR7222800005,심텍,KOSDAQ,우량기업부,26550,2,-1100,-3.98,27600,27600,26500,142029,3811146250,845727496650,31854143,KSQ
009420,KR7009420001,한올바이오파마,KOSPI,,16100,2,-180,-1.11,16260,16270,16020,60441,976007810,841074271800,52240638,STK
002840,KR7002840007,미원상사,KOSPI,,172400,2,-3500,-1.99,175900,175900,172400,813,142088100,836140000000,4850000,STK
066575,KR7066571001,LG전자우,KOSPI,,48300,2,-1300,-2.62,49150,49150,48150,4109,199351300,830083413600,17185992,STK
272450,KR7272450008,진에어,KOSPI,,15820,2,-280,-1.74,16150,16150,15720,9451,149765960,825804000000,52200000,STK
214320,KR7214320004,이노션,KOSPI,,41150,2,-300,-0.72,41600,41650,41050,548,22620100,823000000000,20000000,STK
001430,KR7001430008,세아베스틸지주,KOSPI,,22550,2,-100,-0.44,22300,22650,22200,34746,778577950,808690783450,35862119,STK
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,3795,2,-50,-1.3,3845,3845,3745,26531,99840990,808672755000,213089000,STK
003240,KR7003240009,태광산업,KOSPI,,725000,2,-11000,-1.49,737000,738000,725000,295,215096000,807215000000,1113400,STK
048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,20250,1,150,0.75,20150,20950,19900,457361,9303486500,803868462000,39697208,KSQ
090460,KR7090460007,비에이치,KOSDAQ GLOBAL,우량기업부,22900,2,-900,-3.78,23700,23800,22650,159419,3665722200,789234279100,34464379,KSQ
052020,KR7052020005,에스티큐브,KOSDAQ,중견기업부,16940,2,-530,-3.03,17450,17470,16700,139694,2381694930,782206075420,46175093,KSQ
069260,KR7069260008,TKG휴켐스,KOSPI,,19130,2,-190,-0.98,19260,19260,19110,15787,302542330,782007388440,40878588,STK
095500,KR7095500005,미래나노텍,KOSDAQ,우량기업부,24750,2,-750,-2.94,25400,25700,24600,702079,17623478850,767497475250,31009999,KSQ
215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,64600,1,500,0.78,63200,64800,63200,9498,606777200,766277448000,11861880,KSQ
031430,KR7031430002,신세계인터내셔날,KOSPI,,21400,2,-350,-1.61,21700,21700,21250,16055,343055950,763980000000,35700000,STK
192080,KR7192080000,더블유게임즈,KOSPI,,41500,2,-500,-1.19,42000,42100,41450,6096,254567550,762541833000,18374502,STK
079160,KR7079160008,CJ CGV,KOSPI,,15910,2,-390,-2.39,16300,16300,15830,20285,322997630,759300915690,47724759,STK
300720,KR7300720000,한일시멘트,KOSPI,,10820,2,-240,-2.17,11010,11010,10810,11698,127264870,749409862800,69261540,STK
195870,KR7195870001,해성디에스,KOSPI,,43900,2,-1700,-3.73,45150,45200,43450,28553,1266575850,746300000000,17000000,STK
030190,KR7030190003,NICE평가정보,KOSDAQ GLOBAL,우량기업부,12210,2,-280,-2.24,12360,12380,12180,28374,347761170,741327952200,60714820,KSQ
002350,KR7002350007,넥센타이어,KOSPI,,7550,2,-230,-2.96,7980,8020,7380,206434,1599690170,737392471350,97667877,STK
004490,KR7004490009,세방전지,KOSPI,,52500,2,-600,-1.13,52900,53200,52200,12771,671855300,735000000000,14000000,STK
418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,23300,2,-1100,-4.51,24200,24650,23000,156396,3725810950,730135160900,31336273,KSQ
294870,KR7294870001,HDC현대산업개발,KOSPI,,11060,2,-370,-3.24,11220,11230,11050,58726,652529020,728935069800,65907330,STK
189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,79100,2,-1900,-2.35,80900,80900,78600,16672,1323579500,726428217900,9183669,KSQ
268280,KR7268280005,미원에스씨,KOSPI,,142400,2,-400,-0.28,142800,142800,142100,518,73963000,726240000000,5100000,STK
085660,KR7085660009,차바이오텍,KOSDAQ,벤처기업부,12790,2,-360,-2.74,13070,13100,12760,78205,1005849530,719671787220,56268318,KSQ
272290,KR7272290008,이녹스첨단소재,KOSDAQ GLOBAL,우량기업부,35750,2,-900,-2.46,36250,36250,35300,61929,2208745150,719492273500,20125658,KSQ
007340,KR7007340003,DN오토모티브,KOSPI,,71800,2,-2500,-3.36,74100,74100,71700,4662,337035200,717569559000,9994005,STK
166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,36000,2,-1300,-3.49,37100,37150,35750,31918,1156438950,711096264000,19752674,KSQ
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,70300,2,-1500,-2.09,71500,71700,70100,10497,740933100,710868679000,10111930,KSQ
005440,KR7005440003,현대그린푸드,KOSPI,,7250,0,0,0.0,0,0,0,0,0,708357494500,97704482,STK
005880,KR7005880000,대한해운,KOSPI,,2215,2,-65,-2.85,2240,2270,2210,242085,538330930,706978073900,319177460,STK
