Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,137200,1,900,0.66,136400,137600,135300,26816,3666933900,953246254800,6947859,KSQ
192820,KR7192820009,코스맥스,KOSPI,,83600,2,-2200,-2.56,86700,86700,83000,73339,6150965600,948818952400,11349509,STK
222800,KR7222800005,심텍,KOSDAQ,우량기업부,29500,1,1400,4.98,28300,29550,27850,619885,17885058900,939697218500,31854143,KSQ
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,75300,1,1800,2.45,73900,75500,73300,86938,6479237000,927662115000,12319550,KSQ
418550,KR7418550000,제이오,KOSDAQ,기술성장기업부,29600,1,2000,7.25,28750,30900,28100,2378047,69437051800,927553680800,31336273,KSQ
009420,KR7009420001,한올바이오파마,KOSPI,,17710,1,1570,9.73,16150,19580,15950,3117775,57198287790,925181698980,52240638,STK
073240,KR7073240004,금호타이어,KOSPI,,3195,2,-35,-1.08,3255,3260,3165,271902,871660540,917796616965,287260287,STK
003230,KR7003230000,삼양식품,KOSPI,,120600,2,-3000,-2.43,123200,123500,120500,43207,5240606000,908481609000,7533015,STK
016380,KR7016380008,KG스틸,KOSPI,,8990,2,-200,-2.18,9250,9250,8860,1867519,16806335260,899079984030,100008897,STK
348950,KR7348950007,제이알글로벌리츠,KOSPI,,4525,1,5,0.11,4520,4530,4500,245588,1107676715,893126400000,197376000,STK
272450,KR7272450008,진에어,KOSPI,,17070,1,370,2.22,16950,17100,16690,153815,2602305130,891054000000,52200000,STK
215000,KR7215000001,골프존,KOSDAQ GLOBAL,우량기업부,141600,2,-200,-0.14,141000,142400,140000,32036,4520558200,888598764000,6275415,KSQ
002840,KR7002840007,미원상사,KOSPI,,182000,3,0,0.0,182000,184800,179300,1895,342687600,882700000000,4850000,STK
078340,KR7078340007,컴투스,KOSDAQ,우량기업부,68400,1,1300,1.94,67900,68800,67600,132402,9027766600,880063128000,12866420,KSQ
009970,KR7009970005,영원무역홀딩스,KOSPI,,64100,1,400,0.63,63400,65000,63400,21522,1383826600,874041447200,13635592,STK
003240,KR7003240009,태광산업,KOSPI,,782000,2,-3000,-0.38,786000,787000,778000,719,562024000,870678800000,1113400,STK
214320,KR7214320004,이노션,KOSPI,,43100,2,-300,-0.69,43750,43750,40750,11023,475351700,862000000000,20000000,STK
090460,KR7090460007,비에이치,KOSDAQ GLOBAL,우량기업부,24700,1,2200,9.78,22750,25250,22600,1407876,34128161300,851270161300,34464379,KSQ
004360,KR7004360004,세방,KOSPI,,43600,1,500,1.16,43150,43900,41700,171447,7323987000,841858884000,19308690,STK
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,3945,3,0,0.0,3950,3995,3900,161404,635394710,840636105000,213089000,STK
192080,KR7192080000,더블유게임즈,KOSPI,,45350,2,-250,-0.55,46000,46000,45150,30286,1376242150,833283665700,18374502,STK
066575,KR7066571001,LG전자우,KOSPI,,48250,1,1000,2.12,47550,48400,47150,39241,1881243950,829224114000,17185992,STK
300720,KR7300720000,한일시멘트,KOSPI,,11960,2,-140,-1.16,12170,12170,11850,58439,701600330,828368018400,69261540,STK
195870,KR7195870001,해성디에스,KOSPI,,48300,1,7200,17.52,42000,49700,41500,1724036,80235760250,821100000000,17000000,STK
272290,KR7272290008,이녹스첨단소재,KOSDAQ GLOBAL,우량기업부,40750,1,550,1.37,40300,40850,39550,388826,15642541450,820120563500,20125658,KSQ
069260,KR7069260008,TKG휴켐스,KOSPI,,19840,2,-160,-0.8,20100,20150,19670,125818,2488507220,811031185920,40878588,STK
079160,KR7079160008,CJ CGV,KOSPI,,16990,2,-110,-0.64,17100,17100,16800,91006,1543798260,810843655410,47724759,STK
294090,KR7294090006,이오플로우,KOSDAQ,기술성장기업부,26700,1,1250,4.91,25400,27050,25350,1067261,28374925800,810672849300,30362279,KSQ
001430,KR7001430008,세아베스틸지주,KOSPI,,22500,2,-1000,-4.26,23000,23400,22350,299851,6787771700,806897677500,35862119,STK
031430,KR7031430002,신세계인터내셔날,KOSPI,,22550,2,-250,-1.1,22900,22900,22400,88435,1993850750,805035000000,35700000,STK
215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,67000,2,-300,-0.45,67300,67500,66200,61249,4102279700,794745960000,11861880,KSQ
